Product ID,Customer ID,Rating,Review Text
PROD659,CUST7815,4,"Very easy to use, beginner-friendly."
PROD737,CUST6654,3,"Battery life is very short, not as advertised."
PROD881,CUST7075,1,"The instructions were unclear, difficult to set up."
PROD215,CUST1846,5,"Not what I ordered, very disappointed."
PROD927,CUST7881,5,"Perfect gift for my friend, they loved it!"
PROD704,CUST9969,3,"Not satisfied, poor quality."
PROD726,CUST1729,4,"Arrived damaged, had to request a replacement."
PROD491,CUST2841,5,"Not satisfied, poor quality."
PROD778,CUST7159,1,"Great product, works as expected!"
PROD312,CUST6078,2,"Battery life is very short, not as advertised."
PROD183,CUST9545,2,"Shipping took too long, not satisfied."
PROD373,CUST4609,5,"Very easy to use, beginner-friendly."
PROD574,CUST9041,2,"Shipping took too long, not satisfied."
PROD951,CUST5985,1,"Fantastic build quality, feels premium."
PROD226,CUST4589,5,"Battery life is very short, not as advertised."
PROD901,CUST2932,2,"Perfect gift for my friend, they loved it!"
PROD872,CUST8023,1,"Not satisfied, poor quality."
PROD741,CUST3777,2,"Not what I ordered, very disappointed."
PROD710,CUST1285,2,"Not what I ordered, very disappointed."
PROD978,CUST9478,4,"Perfect gift for my friend, they loved it!"
PROD379,CUST8828,4,"Better than expected, great performance."
PROD203,CUST8919,1,"Not satisfied, poor quality."
PROD127,CUST3844,3,"Better than expected, great performance."
PROD694,CUST2573,2,"Better than expected, great performance."
PROD541,CUST4317,1,"Better than expected, great performance."
PROD318,CUST1616,2,"Arrived damaged, had to request a replacement."
PROD988,CUST2678,5,"Not satisfied, poor quality."
PROD558,CUST6236,1,"The instructions were unclear, difficult to set up."
PROD583,CUST1426,5,"Fantastic build quality, feels premium."
PROD410,CUST3819,4,"Battery life is very short, not as advertised."
PROD123,CUST9932,5,"The instructions were unclear, difficult to set up."
PROD681,CUST3167,1,"Fantastic build quality, feels premium."
PROD441,CUST3687,4,"Perfect gift for my friend, they loved it!"
PROD717,CUST3999,3,"Arrived damaged, had to request a replacement."
PROD354,CUST4443,5,"The instructions were unclear, difficult to set up."
PROD131,CUST8633,1,"Fantastic build quality, feels premium."
PROD848,CUST1269,3,"Arrived damaged, had to request a replacement."
PROD758,CUST5699,2,"The instructions were unclear, difficult to set up."
PROD158,CUST5424,2,"The instructions were unclear, difficult to set up."
PROD300,CUST5914,2,"Very easy to use, beginner-friendly."
PROD482,CUST4194,1,"Very easy to use, beginner-friendly."
PROD137,CUST9994,3,"Not what I ordered, very disappointed."
PROD982,CUST9132,4,"Better than expected, great performance."
PROD413,CUST1124,1,"Great product, works as expected!"
PROD608,CUST3474,5,"Great product, works as expected!"
PROD365,CUST2285,4,"Arrived damaged, had to request a replacement."
PROD426,CUST5179,3,"Not what I ordered, very disappointed."
PROD195,CUST5662,3,"Very easy to use, beginner-friendly."
PROD652,CUST1067,2,"Not satisfied, poor quality."
PROD389,CUST1852,1,"Not what I ordered, very disappointed."
PROD797,CUST3244,3,"The instructions were unclear, difficult to set up."
PROD767,CUST4916,1,"Fantastic build quality, feels premium."
PROD547,CUST5524,1,"Better than expected, great performance."
PROD712,CUST6010,4,"Battery life is very short, not as advertised."
PROD802,CUST5845,5,"Shipping took too long, not satisfied."
PROD617,CUST7466,2,"Arrived damaged, had to request a replacement."
PROD316,CUST1322,5,"Perfect gift for my friend, they loved it!"
PROD653,CUST1594,3,"Not what I ordered, very disappointed."
PROD479,CUST3273,4,"Great product, works as expected!"
PROD821,CUST1996,2,"Great product, works as expected!"
PROD608,CUST3626,3,"Arrived damaged, had to request a replacement."
PROD986,CUST3057,2,"Very easy to use, beginner-friendly."
PROD216,CUST2013,3,"Shipping took too long, not satisfied."
PROD876,CUST8487,5,"Better than expected, great performance."
PROD354,CUST8735,1,"Fantastic build quality, feels premium."
PROD152,CUST3681,3,"Great product, works as expected!"
PROD586,CUST1485,2,"Very easy to use, beginner-friendly."
PROD637,CUST5022,5,"Perfect gift for my friend, they loved it!"
PROD234,CUST2597,1,"Not what I ordered, very disappointed."
PROD113,CUST2599,1,"Perfect gift for my friend, they loved it!"
PROD433,CUST3191,3,"The instructions were unclear, difficult to set up."
PROD509,CUST1802,4,"Fantastic build quality, feels premium."
PROD327,CUST4416,2,"Very easy to use, beginner-friendly."
PROD841,CUST1551,5,"Very easy to use, beginner-friendly."
PROD234,CUST6479,4,"Not satisfied, poor quality."
PROD525,CUST9365,4,"Shipping took too long, not satisfied."
PROD257,CUST6225,5,"Battery life is very short, not as advertised."
PROD694,CUST9319,1,"Not what I ordered, very disappointed."
PROD793,CUST4850,2,"Not what I ordered, very disappointed."
PROD620,CUST8446,1,"Very easy to use, beginner-friendly."
PROD963,CUST8095,1,"Not satisfied, poor quality."
PROD616,CUST5253,5,"Better than expected, great performance."
PROD367,CUST3699,5,"Fantastic build quality, feels premium."
PROD237,CUST4664,2,"Fantastic build quality, feels premium."
PROD169,CUST5889,1,"Arrived damaged, had to request a replacement."
PROD925,CUST1734,4,"Fantastic build quality, feels premium."
PROD352,CUST5594,3,"Fantastic build quality, feels premium."
PROD656,CUST1121,2,"The instructions were unclear, difficult to set up."
PROD774,CUST9396,2,"The instructions were unclear, difficult to set up."
PROD449,CUST8328,1,"Not satisfied, poor quality."
PROD774,CUST9436,1,"The instructions were unclear, difficult to set up."
PROD707,CUST8726,5,"Not what I ordered, very disappointed."
PROD456,CUST4236,4,"Arrived damaged, had to request a replacement."
PROD842,CUST6496,5,"Perfect gift for my friend, they loved it!"
PROD942,CUST9030,5,"Perfect gift for my friend, they loved it!"
PROD984,CUST1130,2,"Arrived damaged, had to request a replacement."
PROD255,CUST2506,4,"Not satisfied, poor quality."
PROD568,CUST1340,1,"The instructions were unclear, difficult to set up."
PROD578,CUST7185,4,"Great product, works as expected!"
PROD240,CUST6900,2,"The instructions were unclear, difficult to set up."
PROD556,CUST2579,4,"Perfect gift for my friend, they loved it!"
PROD721,CUST4617,5,"Fantastic build quality, feels premium."
PROD566,CUST3362,2,"Not satisfied, poor quality."
PROD227,CUST5687,5,"The instructions were unclear, difficult to set up."
PROD701,CUST1957,5,"Arrived damaged, had to request a replacement."
